given_name,family_name,date_of_birth,place_of_birth
John,Williams,1842-09-30,Dumfries
Grace,Jeffery,1899-06-14,Kelso
Sean,Molnar,01-11-1982,Dromore
Lily,Doyle,1883-04-02,Hamilton
Edith,Styles,1879-07-24,Ballymoney
John,Brown,1892-09-05,Kilmarnock
Jose,Barth,13-08-1942,Newtownards
Leonard,Beetham,1897-05-25,Enniskillen
Christopher,Cash,23-09-1977,Stirling
Amos,Rogerson,12-09-1914,Jedburgh
Susan,Helm,03-04-1955,Dromore
Philip,Venters,31-05-1958,Elgin
Margaret,Hyam,26-05-1945,Lerwick
Colin,Hutchinson,14-04-1946,Castle Douglas
Albert,Clements,15-07-1914,West Calder
Robert,Bentham,1863-02-03,Glasgow
Steven,Humphreys,03-01-1980,Dalbeattie
Sidney,Chandler,1884-04-14,Musselburgh
Josephine,Hetherington,1850-09-23,Port Glasgow
Edith,Hopkins,1878-06-25,Peebles
Elizabeth,Shaw,1878-11-03,Paisley
Mary,Mclaughlan,1883-04-15,Dufftown
Thirza,Jones,01-07-1925,Langholm
Ronald,Joynson,18-04-1950,Buckie
Sheila,Denton,29-04-1925,Stranraer
Mabel,Penney,26-04-1914,Selkirk
Nancy,Norman,07-11-1918,Lockerbie
Jonathan,Wallis,30-08-1970,Kirkcaldy
Mary,Ghillyer,16-06-1936,Thurso
George,Bennett,1870-05-01,Kelso
Gicomo,Ferrara,03-05-1960,Strabane
Frederic,Lewis,1892-12-29,Newtownards
William,Bottomley,12-07-1920,Haddington
Minnie,Allen,26-07-1910,Elgin
Susan,Ham,28-10-1950,Newtownards
Michael,Edwards,24-07-1948,Bellshill
Nicholas,Rother,28-08-1973,Brechin
John,O'doherty,07-01-1936,Hamilton
Ellen,Hawking,1872-08-23,Jedburgh
Shana,Bond,08-01-1974,Nairn
Philip,Barnes,25-09-1901,Golspie
Ada,Woodman,1867-12-07,Wick
John,Bradley,1850-02-17,Airdrie
Walter,Wood,1867-04-15,St Andrews
Sidney,Johnson,23-02-1903,Nairn
Anthony,Holmes,30-03-1968,Keith
Caroline,Mitchell,1860-06-29,Armagh
Nancy,Julien,09-11-1909,Kirkcaldy
Susan,Graham,02-09-1954,Stirling
Pauline,O'ven,06-06-1947,Linlithgow
William,Kingdon,1890-05-04,Milngavie
Jack,Stell,1897-02-03,Montrose
Rosina,Browning,1893-04-29,Musselburgh
Michael,Sparrow,07-08-1954,Dingwall
Alice,Peake,28-10-1915,Stonehaven
John,Blake,1891-07-04,Carrickfergus
Susan,Brazil,03-06-1956,Jedburgh
Thomas,Cain,30-09-1926,Stonehaven
Fanny,Drury,1880-06-28,Belfast
Anita,Sutton,05-08-1966,West Calder
Michelle,Dawes,11-12-1977,Grantown-on-Spey
Robert,Burke,12-03-1941,Milngavie
William,Yuille,14-06-1908,Stornoway
Brian,Bowron,14-05-1937,Lerwick
Jacob,Mountford,1875-11-07,Aberdeen
Thomas,Pope,21-04-1923,Kinross
Dorothy,Burkill,01-03-1948,Port Glasgow
Anthony,Hayes,27-12-1964,Wick
Giles,Lyon,14-05-1965,Falkirk
Gwilym,Evans,04-09-1935,Barrhead
Naomi,Appleyard,11-05-1981,Alloa
Florence,Portsmouth,01-02-1909,Banff
William,Phillips,1878-11-20,Forres
Louise,Rapson,21-09-1968,Dundee
Donald,Waring,01-10-1927,Dungannon
James,Alleyne,23-08-1983,Stornoway
William,Allsop,1879-06-29,Dalkeith
